2010 Population,% Foreign Born,Median Household Income,Below Poverty Level,% Black-owned Firms,% Asian-owned Firms,% Hispanic-owned Firms,% Women-owned Firms,Retail Sales per Capita,Land Area (Square Miles),Population per Square Mile,% Person under 5 years,% Persons under 18 years,% Persons 65 and older,% Female Persons,% White,% Black African,% Asian,% Hispanic,"('Votes', ' No Preference')","('Votes', ' Uncommitted')","('Votes', 'Ben Carson')","('Votes', 'Bernie Sanders')","('Votes', 'Carly Fiorina')","('Votes', 'Chris Christie')","('Votes', 'Donald Trump')","('Votes', 'Hillary Clinton')","('Votes', 'Jeb Bush')","('Votes', 'John Kasich')","('Votes', 'Marco Rubio')","('Votes', ""Martin O'Malley"")","('Votes', 'Mike Huckabee')","('Votes', 'Rand Paul')","('Votes', 'Rick Santorum')","('Votes', 'Ted Cruz')"
134421,5.3,49555,23.0,0.0,2.1,5.6,31.1,13273,18618.89,7.2,6.1,21.8,11.1,50.6,66.4,1.6,1.8,13.9,0,0,0,6941,0,0,3324,5738,0,742,0,0,0,0,0,2843
53597,3.4,39954,21.6,0.0,0.0,0.0,28.7,10545,4757.93,11.3,5.7,20.4,26.6,50.4,80.2,0.9,0.8,18.8,0,0,0,1305,0,0,3065,2196,0,353,0,0,0,0,0,1334
37220,5.0,44943,22.3,0.0,0.0,0.0,0.0,11211,4622.6,8.1,7.7,28.3,12.3,46.5,81.1,2.1,0.7,32.1,0,0,0,851,0,0,1501,937,0,202,0,0,0,0,0,1606
8437,4.7,47992,16.0,0.0,0.0,0.0,0.0,4587,1843.13,4.6,6.8,28.1,11.6,47.7,91.5,1.8,0.8,46.6,0,0,0,325,0,0,282,497,0,24,0,0,0,0,0,237
20489,13.5,35776,19.4,0.0,0.0,0.0,32.0,19588,4499.63,4.6,4.6,17.4,36.1,48.9,77.1,1.2,0.9,25.7,0,0,0,259,0,0,940,309,0,61,0,0,0,0,0,242
3817117,14.9,53596,16.7,2.4,3.9,9.2,27.3,15153,9200.14,414.9,6.7,25.1,13.8,50.6,84.4,5.7,4.1,30.3,0,0,0,86942,0,0,144522,126988,0,33803,0,0,0,0,0,72216
200186,6.9,39200,19.4,1.1,1.6,4.6,25.9,14489,13311.08,15.0,4.6,18.7,26.9,49.7,92.0,1.3,1.2,15.8,0,0,0,2847,0,0,14154,4170,0,1023,0,0,0,0,0,4744
107449,2.6,36927,30.3,0.0,0.0,0.0,24.7,11148,9950.42,10.8,7.3,28.0,15.8,49.8,51.0,1.3,0.7,11.1,0,0,0,2621,0,0,3558,4415,0,441,0,0,0,0,0,3481
980263,12.8,45841,19.2,1.3,3.4,14.1,30.1,11969,9187.04,106.7,5.9,21.9,17.7,50.8,85.5,4.1,3.1,36.1,0,0,0,40228,0,0,36804,56317,0,9854,0,0,0,0,0,23137
375770,10.1,50027,15.6,3.1,0.0,12.7,27.0,6718,5365.61,70.0,6.0,24.4,18.0,47.8,83.2,4.9,1.9,29.2,0,0,0,5414,0,0,12182,9771,0,1567,0,0,0,0,0,4079
